rank	title	link	year	genre	description
1	Killers of the Flower Moon	https://www.imdb.com/title/tt5537002/?ref_=adv_li_tt	2023	Crime, Drama, History	When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.
2	Mission: Impossible - Dead Reckoning Part One	https://www.imdb.com/title/tt9603212/?ref_=adv_li_tt	2023	Action, Adventure, Thriller	Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
3	Oppenheimer	https://www.imdb.com/title/tt15398776/?ref_=adv_li_tt	I 2023	Biography, Drama, History	The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.
4	The Exorcist	https://www.imdb.com/title/tt0070047/?ref_=adv_li_tt	1973	Horror	When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life.
5	John Wick: Chapter 4	https://www.imdb.com/title/tt10366206/?ref_=adv_li_tt	2023	Action, Crime, Thriller	John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.
6	The Nightmare Before Christmas	https://www.imdb.com/title/tt0107688/?ref_=adv_li_tt	1993	Animation, Family, Fantasy	Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.
7	Saw	https://www.imdb.com/title/tt0387564/?ref_=adv_li_tt	2004	Horror, Mystery, Thriller	Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.
8	Spider-Man: Across the Spider-Verse	https://www.imdb.com/title/tt9362722/?ref_=adv_li_tt	2023	Animation, Action, Adventure	Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.
9	Halloween	https://www.imdb.com/title/tt0077651/?ref_=adv_li_tt	1978	Horror, Thriller	Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.
10	Get Out	https://www.imdb.com/title/tt5052448/?ref_=adv_li_tt	I 2017	Horror, Mystery, Thriller	A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.
11	Rosemary's Baby	https://www.imdb.com/title/tt0063522/?ref_=adv_li_tt	1968	Drama, Horror	A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.
